track_name,album_name,release_date,popularity,release_year
Introduction - Tennessee Mountain Home,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,24,2024
My Tennessee Mountain Home,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,30,2024
Grooms Tune / Bonaparte's Retreat (Instrumental),"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,22,2024
I'll Live in Glory,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,21,2024
Singing His Praise / Daddy Was an Old Time Preacher Man Medley,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,22,2024
I'll Meet You in the Morning,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
Rosewood Casket,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Runaway Girl,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,20,2024
I Just Stopped By,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
When Possession Gets Too Strong,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Put It Off Until Tomorrow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Smoky Mountain DNA,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,17,2024
Heart Don't Fail Me Now,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
Mama's Special Touch,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Take it Slow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Foolin' Around,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Crops Came In,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
I Will Know,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,14,2024
Apple Jack,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,17,2024
It's All Wrong but It's All Right,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
Tell Me That You Love Me,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Canceled Plans,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
The Man,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,14,2024
The Orchard,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Holy Water,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
A Rose Won't Fix It,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
Where Will We Live Tomorrow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Puppy Love,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Not Bad,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
For Keeps,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Crazy in Love With You,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
Be Your Own Man,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Being Me,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
We Might Be in Love,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Randy Floyd,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
When It's Family,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
Outro - Smoky Mountain DNA,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,11,2024
Rockstar,Rockstar ,2024-01-19,25,2024
World On Fire,Rockstar ,2024-01-19,27,2024
Every Breath You Take,Rockstar ,2024-01-19,24,2024
Open Arms,Rockstar ,2024-01-19,21,2024
Magic Man (Carl Version),Rockstar ,2024-01-19,20,2024
Long As I Can See The Light,Rockstar ,2024-01-19,19,2024
Either Or,Rockstar ,2024-01-19,19,2024
I Want You Back,Rockstar ,2024-01-19,27,2024
What Has Rock And Roll Ever Done For You,Rockstar ,2024-01-19,21,2024
Purple Rain,Rockstar ,2024-01-19,22,2024
"Baby, I Love Your Way",Rockstar ,2024-01-19,19,2024
I Hate Myself For Loving You,Rockstar ,2024-01-19,21,2024
Night Moves,Rockstar ,2024-01-19,46,2024
Wrecking Ball,Rockstar ,2024-01-19,26,2024
(I Can’t Get No) Satisfaction,Rockstar ,2024-01-19,21,2024
Keep On Loving You,Rockstar ,2024-01-19,18,2024
Heart Of Glass,Rockstar ,2024-01-19,29,2024
Don’t Let The Sun Go Down On Me,Rockstar ,2024-01-19,19,2024
Tried To Rock And Roll Me,Rockstar ,2024-01-19,17,2024
Stairway To Heaven,Rockstar ,2024-01-19,19,2024
We Are The Champions/We Will Rock You,Rockstar ,2024-01-19,18,2024
Bygones,Rockstar ,2024-01-19,16,2024
My Blue Tears,Rockstar ,2024-01-19,14,2024
What’s Up?,Rockstar ,2024-01-19,19,2024
You’re No Good,Rockstar ,2024-01-19,17,2024
Heartbreaker,Rockstar ,2024-01-19,18,2024
Bittersweet,Rockstar ,2024-01-19,14,2024
I Dreamed About Elvis,Rockstar ,2024-01-19,16,2024
Let It Be,Rockstar ,2024-01-19,39,2024
Free Bird,Rockstar ,2024-01-19,19,2024
Rockin' It - Live,Rockstar ,2024-01-19,25,2024
Hit Me With Your Best Shot,Rockstar ,2024-01-19,19,2024
Mama Never Said,Rockstar ,2024-01-19,16,2024
Two Tickets To Paradise,Rockstar ,2024-01-19,16,2024
Jolene,Rockstar ,2024-01-19,51,2024
Stay Out Of My Bedroom,Rockstar ,2024-01-19,17,2024
Bridge Over Troubled Water,Rockstar ,2024-01-19,21,2024
The Entertainer,Rockstar ,2024-01-19,17,2024
Sweet Dreams (Are Made Of This),Rockstar ,2024-01-19,23,2024
Rockstar,Rockstar,2023-11-17,28,2023
World On Fire,Rockstar,2023-11-17,31,2023
Every Breath You Take,Rockstar,2023-11-17,31,2023
Open Arms,Rockstar,2023-11-17,27,2023
Magic Man (Carl Version),Rockstar,2023-11-17,24,2023
Long As I Can See The Light,Rockstar,2023-11-17,26,2023
Either Or,Rockstar,2023-11-17,25,2023
I Want You Back,Rockstar,2023-11-17,25,2023
What Has Rock And Roll Ever Done For You,Rockstar,2023-11-17,26,2023
Purple Rain,Rockstar,2023-11-17,30,2023
"Baby, I Love Your Way",Rockstar,2023-11-17,25,2023
I Hate Myself For Loving You,Rockstar,2023-11-17,29,2023
Night Moves,Rockstar,2023-11-17,36,2023
Wrecking Ball,Rockstar,2023-11-17,38,2023
(I Can’t Get No) Satisfaction,Rockstar,2023-11-17,35,2023
Keep On Loving You,Rockstar,2023-11-17,22,2023
Heart Of Glass,Rockstar,2023-11-17,30,2023
Don’t Let The Sun Go Down On Me,Rockstar,2023-11-17,27,2023
Tried To Rock And Roll Me,Rockstar,2023-11-17,22,2023
Stairway To Heaven,Rockstar,2023-11-17,29,2023
We Are The Champions/We Will Rock You,Rockstar,2023-11-17,24,2023
Bygones,Rockstar,2023-11-17,20,2023
My Blue Tears,Rockstar,2023-11-17,19,2023
What’s Up?,Rockstar,2023-11-17,28,2023
You’re No Good,Rockstar,2023-11-17,21,2023
Heartbreaker,Rockstar,2023-11-17,26,2023
Bittersweet,Rockstar,2023-11-17,18,2023
I Dreamed About Elvis,Rockstar,2023-11-17,21,2023
Let It Be,Rockstar,2023-11-17,31,2023
Free Bird,Rockstar,2023-11-17,28,2023
Run,"Run, Rose, Run",2022-03-04,18,2022
Big Dreams and Faded Jeans,"Run, Rose, Run",2022-03-04,24,2022
Demons,"Run, Rose, Run",2022-03-04,22,2022
Driven,"Run, Rose, Run",2022-03-04,15,2022
Snakes In the Grass,"Run, Rose, Run",2022-03-04,14,2022
Blue Bonnet Breeze,"Run, Rose, Run",2022-03-04,15,2022
Woman Up (And Take It Like A Man),"Run, Rose, Run",2022-03-04,23,2022
Firecracker,"Run, Rose, Run",2022-03-04,19,2022
Secrets,"Run, Rose, Run",2022-03-04,12,2022
Lost and Found,"Run, Rose, Run",2022-03-04,14,2022
"Dark Night, Bright Future","Run, Rose, Run",2022-03-04,13,2022
Love Or Lust,"Run, Rose, Run",2022-03-04,11,2022
Holly Jolly Christmas,A Holly Dolly Christmas ,2020-10-02,38,2020
Christmas Is (feat. Miley Cyrus),A Holly Dolly Christmas ,2020-10-02,29,2020
"Cuddle Up, Cozy Down Christmas",A Holly Dolly Christmas ,2020-10-02,45,2020
Christmas On The Square,A Holly Dolly Christmas ,2020-10-02,21,2020
Circle Of Love,A Holly Dolly Christmas ,2020-10-02,28,2020
All I Want For Christmas Is You,A Holly Dolly Christmas ,2020-10-02,26,2020
Comin' Home For Christmas,A Holly Dolly Christmas ,2020-10-02,22,2020
Christmas Where We Are (feat. Billy Ray Cyrus),A Holly Dolly Christmas ,2020-10-02,25,2020
Pretty Paper,A Holly Dolly Christmas ,2020-10-02,25,2020
I Saw Mommy Kissing Santa Claus,A Holly Dolly Christmas ,2020-10-02,32,2020
You Are My Christmas (feat. Randy Parton),A Holly Dolly Christmas ,2020-10-02,19,2020
"Mary, Did You Know?",A Holly Dolly Christmas ,2020-10-02,23,2020
Three Candles,A Holly Dolly Christmas ,2020-10-02,17,2020
The Wish Book,A Holly Dolly Christmas ,2020-10-02,14,2020
"Baby, It's Cold Outside (feat. Dolly Parton)",A Holly Dolly Christmas ,2020-10-02,13,2020
Something Bigger Than Me,A Holly Dolly Christmas ,2020-10-02,15,2020
A Smoky Mountain Christmas,A Holly Dolly Christmas ,2020-10-02,26,2020
(I'd Like to Spend) Christmas with Santa,A Holly Dolly Christmas ,2020-10-02,17,2020
Wrapped Up In You,A Holly Dolly Christmas ,2020-10-02,18,2020
Silent Night,A Holly Dolly Christmas ,2020-10-02,23,2020
Here I Am - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,34,2018
Holdin' On To You - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,28,2018
Girl in the Movies - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,25,2018
"Red Shoes - from the ""Dumplin'"" Original Motion Picture Soundtrack",Dumplin' Original Motion Picture Soundtrack,2018-11-30,25,2018
Why - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,19,2018
Dumb Blonde - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,26,2018
Here You Come Again - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,27,2018
Who - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,17,2018
Push and Pull - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,18,2018
If We Don't (with Alison Krauss) - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,22,2018
Two Doors Down - from the Dumplin' Original Motion Picture Soundtrack,Dumplin' Original Motion Picture Soundtrack,2018-11-30,29,2018
Jolene - New String Version [from the Dumplin' Original Motion Picture Soundtrack],Dumplin' Original Motion Picture Soundtrack,2018-11-30,22,2018
Here You Come Again - Dumplin' Remix,Dumplin' Original Motion Picture Soundtrack,2018-11-30,28,2018
Jolene - Dumplin' Remix,Dumplin' Original Motion Picture Soundtrack,2018-11-30,43,2018
9 to 5,Dumplin' Original Motion Picture Soundtrack,2018-11-30,30,2018
Dumb Blonde,Dumplin' Original Motion Picture Soundtrack,2018-11-30,26,2018
Two Doors Down,Dumplin' Original Motion Picture Soundtrack,2018-11-30,25,2018
Jolene,Dumplin' Original Motion Picture Soundtrack,2018-11-30,23,2018
Here You Come Again,Dumplin' Original Motion Picture Soundtrack,2018-11-30,22,2018
Holdin' On to You,Dumplin' Original Motion Picture Soundtrack,2018-11-30,18,2018
Just Because I'm a Woman,Dumplin' Original Motion Picture Soundtrack,2018-11-30,23,2018
Better Get to Livin',Dumplin' Original Motion Picture Soundtrack,2018-11-30,38,2018
High And Mighty (with The Christ Church Choir),Dumplin' Original Motion Picture Soundtrack,2018-11-30,17,2018
I Believe in You,I Believe in You,2017-09-29,22,2017
Coat of Many Colors,I Believe in You,2017-09-29,21,2017
Together Forever,I Believe in You,2017-09-29,12,2017
I Am a Rainbow,I Believe in You,2017-09-29,17,2017
I'm Here,I Believe in You,2017-09-29,11,2017
A Friend Like You,I Believe in You,2017-09-29,15,2017
Imagination,I Believe in You,2017-09-29,12,2017
You Can Do It,I Believe in You,2017-09-29,14,2017
Responsibility,I Believe in You,2017-09-29,9,2017
You Gotta Be,I Believe in You,2017-09-29,10,2017
Makin' Fun Ain't Funny,I Believe in You,2017-09-29,15,2017
Chemo Hero,I Believe in You,2017-09-29,9,2017
Brave Little Soldier,I Believe in You,2017-09-29,10,2017
"A Reading of ""Coat of Many Colors"" - Bonus Track",I Believe in You,2017-09-29,7,2017
Pure and Simple,Pure & Simple,2016-08-19,23,2016
Say Forever You'll Be Mine,Pure & Simple,2016-08-19,14,2016
Never Not Love You,Pure & Simple,2016-08-19,10,2016
Kiss It (And Make It All Better),Pure & Simple,2016-08-19,9,2016
Can't Be That Wrong,Pure & Simple,2016-08-19,10,2016
Outside Your Door,Pure & Simple,2016-08-19,10,2016
Tomorrow Is Forever,Pure & Simple,2016-08-19,13,2016
I'm Sixteen,Pure & Simple,2016-08-19,11,2016
Head Over High Heels,Pure & Simple,2016-08-19,12,2016
Forever Love,Pure & Simple,2016-08-19,14,2016
Mama,Pure & Simple,2016-08-19,6,2016
Lovin' You,Pure & Simple,2016-08-19,14,2016
Blue Smoke,Blue Smoke,2014-05-13,40,2014
Unlikely Angel,Blue Smoke,2014-05-13,25,2014
Don't Think Twice,Blue Smoke,2014-05-13,26,2014
You Can't Make Old Friends,Blue Smoke,2014-05-13,18,2014
Home,Blue Smoke,2014-05-13,23,2014
Banks of the Ohio,Blue Smoke,2014-05-13,22,2014
Lay Your Hands on Me,Blue Smoke,2014-05-13,16,2014
Miss You-Miss Me,Blue Smoke,2014-05-13,12,2014
If I Had Wings,Blue Smoke,2014-05-13,26,2014
Lover du Jour,Blue Smoke,2014-05-13,12,2014
From Here to the Moon and Back,Blue Smoke,2014-05-13,14,2014
Try,Blue Smoke,2014-05-13,25,2014
In the Meantime,Better Day,2011-06-28,14,2011
Just Leavin',Better Day,2011-06-28,10,2011
Somebody's Missin' You,Better Day,2011-06-28,11,2011
Together You and I,Better Day,2011-06-28,24,2011
Country Is as Country Does,Better Day,2011-06-28,14,2011
Holding Everything,Better Day,2011-06-28,10,2011
The Sacrifice,Better Day,2011-06-28,19,2011
I Just Might,Better Day,2011-06-28,11,2011
Better Day,Better Day,2011-06-28,11,2011
Shine like the Sun,Better Day,2011-06-28,14,2011
Get Out and Stay Out,Better Day,2011-06-28,12,2011
Let Love Grow,Better Day,2011-06-28,11,2011
"Get Up, Get Out, Get On",Better Day,2011-06-28,5,2011
Early Morning Breeze,Better Day,2011-06-28,4,2011
Olive Branch,Better Day,2011-06-28,4,2011
Angels in the Midst,Better Day,2011-06-28,4,2011
Two Doors Down (Live),Dolly: Live From London,2009-11-10,12,2009
Jolene (Live),Dolly: Live From London,2009-11-10,16,2009
Backwoods Barbie (Live),Dolly: Live From London,2009-11-10,9,2009
Coat of Many Colors (Live),Dolly: Live From London,2009-11-10,10,2009
Only Dreamin' (Live),Dolly: Live From London,2009-11-10,7,2009
Better Get to Livin' (Live),Dolly: Live From London,2009-11-10,9,2009
Shinola (Live),Dolly: Live From London,2009-11-10,7,2009
Little Sparrow (Live),Dolly: Live From London,2009-11-10,12,2009
The Grass Is Blue (Live),Dolly: Live From London,2009-11-10,9,2009
Do I Ever Cross Your Mind (Live),Dolly: Live From London,2009-11-10,8,2009
Here You Come Again (Live),Dolly: Live From London,2009-11-10,6,2009
Islands in the Stream (Live),Dolly: Live From London,2009-11-10,15,2009
9 to 5 (Live),Dolly: Live From London,2009-11-10,16,2009
I Will Always Love You (Live),Dolly: Live From London,2009-11-10,16,2009
Jesus and Gravity (Live),Dolly: Live From London,2009-11-10,12,2009
Shattered Image (Live),Dolly: Live From London,2009-11-10,4,2009
My Tennessee Mountain Home (Live),Dolly: Live From London,2009-11-10,4,2009
Baby I’m Burnin’ (Live),Dolly: Live From London,2009-11-10,5,2009
Puppy Love,Dolly,2009-10-30,0,2009
Girl Left Alone,Dolly,2009-10-30,0,2009
Gonna Hurry (As Slow As I Can) - Demo,Dolly,2009-10-30,35,2009
It's Sure Gonna Hurt,Dolly,2009-10-30,0,2009
The Love You Gave,Dolly,2009-10-30,0,2009
Nobody But You,Dolly,2009-10-30,0,2009
Busy Signal - Single Version,Dolly,2009-10-30,23,2009
Don't Drop Out - Single Version,Dolly,2009-10-30,15,2009
I've Known You All My Life,Dolly,2009-10-30,14,2009
Put It Off Until Tomorrow,Dolly,2009-10-30,0,2009
Dumb Blonde,Dolly,2009-10-30,21,2009
Something Fishy,Dolly,2009-10-30,9,2009
I Couldn't Wait Forever,Dolly,2009-10-30,9,2009
I'm Not Worth the Tears,Dolly,2009-10-30,9,2009
The Last Thing On My Mind,Dolly,2009-10-30,11,2009
False Eyelashes,Dolly,2009-10-30,9,2009
The Bridge,Dolly,2009-10-30,9,2009
Just Because I'm a Woman,Dolly,2009-10-30,16,2009
Holding On to Nothin',Dolly,2009-10-30,8,2009
We'll Get Ahead Someday,Dolly,2009-10-30,7,2009
Jeannie's Afraid of the Dark,Dolly,2009-10-30,8,2009
In the Good Old Days (When Times Were Bad),Dolly,2009-10-30,7,2009
Daddy,Dolly,2009-10-30,9,2009
Evening Shade,Dolly,2009-10-30,7,2009
"Gypsy, Joe and Me",Dolly,2009-10-30,8,2009
My Blue Ridge Mountain Boy,Dolly,2009-10-30,8,2009
Just The Way I Am,Dolly,2009-10-30,8,2009
Down from Dover,Dolly,2009-10-30,7,2009
Everything Is Beautiful (In Its Own Way),Dolly,2009-10-30,7,2009
Daddy Come And Get Me,Dolly,2009-10-30,7,2009
Just Someone I Used to Know,Dolly,2009-10-30,9,2009
Tomorrow Is Forever,Dolly,2009-10-30,13,2009
Daddy Was an Old Time Preacher Man,Dolly,2009-10-30,8,2009
Comin' for to Carry Me Home,Dolly,2009-10-30,19,2009
Golden Streets of Glory,Dolly,2009-10-30,6,2009
Mule Skinner Blues (Blue Yodel No. 8),Dolly,2009-10-30,27,2009
Joshua,Dolly,2009-10-30,9,2009
Daddy's Moonshine Still,Dolly,2009-10-30,6,2009
The Last One to Touch Me,Dolly,2009-10-30,6,2009
Better Move It on Home,Dolly,2009-10-30,5,2009
Coat of Many Colors,Dolly,2009-10-30,12,2009
Traveling Man,Dolly,2009-10-30,6,2009
My Blue Tears,Dolly,2009-10-30,5,2009
Here I Am,Dolly,2009-10-30,9,2009
God's Coloring Book,Dolly,2009-10-30,15,2009
Will He Be Waiting,Dolly,2009-10-30,5,2009
Touch Your Woman,Dolly,2009-10-30,6,2009
Together Always,Dolly,2009-10-30,5,2009
Lost Forever In Your Kiss,Dolly,2009-10-30,6,2009
My Tennessee Mountain Home,Dolly,2009-10-30,9,2009
"My Mountains, My Home",SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,6,2009
Hey Howdy Hey,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,4,2009
Working on a Dream,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,3,2009
Time Flies,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,3,2009
Heart of the Smokies,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,3,2009
Good Time,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,3,2009
Sha-Kon-O-Hey!,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,8,2009
Forever Home,SHA-KON-O-HEY! Land of Blue Smoke,2009-02-11,4,2009
Better Get to Livin',Backwoods Barbie,2008-02-26,18,2008
Made of Stone,Backwoods Barbie,2008-02-26,15,2008
Drives Me Crazy,Backwoods Barbie,2008-02-26,19,2008
Backwoods Barbie,Backwoods Barbie,2008-02-26,38,2008
Jesus & Gravity,Backwoods Barbie,2008-02-26,20,2008
Only Dreamin',Backwoods Barbie,2008-02-26,13,2008
The Tracks of My Tears,Backwoods Barbie,2008-02-26,18,2008
The Lonesomes,Backwoods Barbie,2008-02-26,11,2008
Cologne,Backwoods Barbie,2008-02-26,15,2008
Shinola,Backwoods Barbie,2008-02-26,16,2008
I Will Forever Hate Roses,Backwoods Barbie,2008-02-26,16,2008
Somebody's Everything,Backwoods Barbie,2008-02-26,15,2008
I Will Always Love You (Live),Backwoods Barbie,2008-02-26,8,2008
The Grass Is Blue (Live),Backwoods Barbie,2008-02-26,7,2008
Rose Of My Heart,Backwoods Barbie,2008-02-26,6,2008
Hallelujah Holiday,Backwoods Barbie,2008-02-26,6,2008
Berry Pie,Backwoods Barbie,2008-02-26,14,2008
Those Were the Days,Those Were the Days,2005-10-11,25,2005
Blowin' in the Wind,Those Were the Days,2005-10-11,14,2005
Where Have All the Flowers Gone?,Those Were the Days,2005-10-11,14,2005
The Twelfth of Never,Those Were the Days,2005-10-11,11,2005
Where Do the Children Play?,Those Were the Days,2005-10-11,11,2005
Me and Bobby McGee,Those Were the Days,2005-10-11,20,2005
Crimson and Clover,Those Were the Days,2005-10-11,15,2005
The Cruel War,Those Were the Days,2005-10-11,8,2005
"Turn, Turn, Turn",Those Were the Days,2005-10-11,10,2005
If I Were a Carpenter,Those Were the Days,2005-10-11,11,2005
Both Sides Now,Those Were the Days,2005-10-11,14,2005
Imagine,Those Were the Days,2005-10-11,12,2005
Drifting Too Far from the Shore,Porter Wagoner Duets,1900-01-01,9,1900
Bury Me Beneath the Willow,Porter Wagoner Duets,1900-01-01,5,1900
Old Log Cabin for Sale,Porter Wagoner Duets,1900-01-01,4,1900
Walk That Lonesome Valley,Porter Wagoner Duets,1900-01-01,3,1900
Workin' On a Building,Porter Wagoner Duets,1900-01-01,3,1900
We Don't Want the World,Porter Wagoner Duets,1900-01-01,4,1900
Don't Let Me Cross Over,Porter Wagoner Duets,1900-01-01,3,1900
Charlie and Nellie,Porter Wagoner Duets,1900-01-01,2,1900
Dreaming of a Little Cabin,Porter Wagoner Duets,1900-01-01,4,1900
When I Lay My Burdens Down,Porter Wagoner Duets,1900-01-01,4,1900
Mary of the Wild Moor,Porter Wagoner Duets,1900-01-01,1,1900
Old Country Church,Porter Wagoner Duets,1900-01-01,4,1900
Orange Blossom Special - Live,Live and Well,2004-09-14,8,2004
"Train, Train - Live",Live and Well,2004-09-14,7,2004
The Grass Is Blue - Live,Live and Well,2004-09-14,9,2004
Mountain Angel - Live,Live and Well,2004-09-14,9,2004
Shine - Live,Live and Well,2004-09-14,12,2004
Little Sparrow - Live,Live and Well,2004-09-14,9,2004
Rocky Top - Live,Live and Well,2004-09-14,29,2004
My Tennessee Mountain Home - Live,Live and Well,2004-09-14,8,2004
Coat of Many Colors - Live,Live and Well,2004-09-14,10,2004
Smoky Mountain Memories - Live,Live and Well,2004-09-14,9,2004
Applejack - Live,Live and Well,2004-09-14,9,2004
Marry Me - Live,Live and Well,2004-09-14,8,2004
Halos and Horns - Live,Live and Well,2004-09-14,6,2004
I'm Gone - Live,Live and Well,2004-09-14,6,2004
Dagger Through the Heart - Live,Live and Well,2004-09-14,6,2004
If - Live,Live and Well,2004-09-14,5,2004
After the Gold Rush - Live,Live and Well,2004-09-14,6,2004
9 to 5 - Live,Live and Well,2004-09-14,12,2004
Jolene - Live,Live and Well,2004-09-14,17,2004
A Cappella Medley: Islands in the Stream / Here You Come Again / Why'd You Come in Here Lookin' Like That / Two Doors Down - Live,Live and Well,2004-09-14,8,2004
We Irish - Live,Live and Well,2004-09-14,11,2004
Stairway to Heaven - Live,Live and Well,2004-09-14,13,2004
I Will Always Love You - Live,Live and Well,2004-09-14,15,2004
The Lord Is My Shepherd,For God and Country,2003-11-11,16,2003
The Star-Spangled Banner,For God and Country,2003-11-11,18,2003
God Bless the USA,For God and Country,2003-11-11,21,2003
Light of a Clear Blue Morning,For God and Country,2003-11-11,19,2003
When Johnny Comes Marching Home,For God and Country,2003-11-11,15,2003
Welcome Home,For God and Country,2003-11-11,11,2003
