genres,count
motown,74
classic rock,69
soft rock,57
doo-wop,57
soul,51
disco,46
christmas,43
r&b,37
northern soul,33
pop,32
adult standards,32
psychedelic rock,29
rap,27
hip hop,27
new jack swing,25
rock,24
quiet storm,19
folk rock,18
rockabilly,15
glam metal,14
philly soul,13
rock and roll,11
glam rock,11
folk,11
album rock,11
synthpop,10
southern hip hop,10
soft pop,10
singer-songwriter,10
new wave,10
country,10
acid rock,10
baroque pop,9
funk rock,8
big band,8
vocal jazz,7
hi-nrg,7
freestyle,7
east coast hip hop,7
swing music,6
soul blues,6
reggae,6
gangster rap,6
funk melody,6
art rock,6
west coast hip hop,5
progressive rock,5
latin,5
k-pop,5
jazz blues,5
g-funk,5
exotica,5
easy listening,5
blues,5
art pop,5
surf rock,4
schlager,4
neo soul,4
latin pop,4
funk,4
bubblegum pop,4
symphonic rock,3
proto-punk,3
post-grunge,3
orchestra,3
jazz,3
hard rock,3
country rock,3
traditional country,2
southern rock,2
smooth soul,2
roots rock,2
psychedelic pop,2
power pop,2
miami bass,2
latin hip hop,2
jangle pop,2
italo dance,2
honky tonk,2
garage rock,2
eurodance,2
dancehall,2
crunk,2
comedy,2
arena rock,2
trap,1
tejano,1
smooth r&b,1
smooth jazz,1
roots reggae,1
red dirt,1
rap rock,1
rap metal,1
polka,1
nu metal,1
new age,1
neue deutsche welle,1
nederpop,1
musicals,1
melodic rap,1
mariachi,1
madchester,1
lovers rock,1
kayokyoku,1
jazz fusion,1
italo disco,1
italian singer-songwriter,1
hip house,1
europop,1
enka,1
emo rap,1
christian,1
children's music,1
chicago house,1
champeta,1
ccm,1
canzone napoletana,1
bounce,1
boogie,1
blues rock,1
afrobeat,1
afro soul,1
acoustic country,1