popularity,release_date_y,genres
0,6/7/01,rockabilly
0,6/7/01,doo-wop
49,4/28/08,italian singer-songwriter
49,4/28/08,italo dance
49,4/28/08,canzone napoletana
33,7/26/05,doo-wop
0,1/1/97,doo-wop
26,1/1/00,country
26,1/1/00,traditional country
26,1/1/00,honky tonk
31,6/18/90,folk
0,9/4/15,smooth soul
46,1/1/10,christmas
46,1/1/10,children's music
48,1/1/91,doo-wop
33,1/1/94,doo-wop
29,3/21/00,doo-wop
51,1/1/93,doo-wop
51,1/1/93,adult standards
6,11/9/09,doo-wop
6,11/9/09,rockabilly
6,11/9/09,rockabilly
6,11/9/09,honky tonk
42,10/3/00,adult standards
38,9/24/02,rockabilly
38,9/24/02,rock and roll
63,10/25/12,surf rock
63,10/25/12,exotica
41,11/23/04,big band
41,11/23/04,adult standards
41,11/23/04,swing music
41,11/23/04,doo-wop
50,1/1/93,doo-wop
50,1/1/93,adult standards
11,12/4/13,doo-wop
20,9/1/13,rockabilly
20,9/1/13,doo-wop
0,1/1/03,doo-wop
46,4/14/87,orchestra
46,4/14/87,easy listening
47,8/11/63,rockabilly
47,8/11/63,rock and roll
42,6/1/62,doo-wop
0,1/1/99,schlager
4,10/28/14,doo-wop
0,1/1/99,christmas
54,9/24/02,rockabilly
54,9/24/02,rock and roll
50,1/1/05,rock and roll
0,1/1/05,schlager
63,1962,doo-wop
63,1962,motown
0,1/1/99,christmas
55,9/1/60,jazz blues
55,9/1/60,soul
55,9/1/60,soul blues
55,9/1/60,blues
55,9/1/60,vocal jazz
54,9/24/87,doo-wop
50,8/11/63,rockabilly
50,8/11/63,rock and roll
0,9/1/12,orchestra
0,9/1/12,easy listening
0,9/1/12,big band
0,9/1/12,exotica
28,1/1/13,doo-wop
28,1/1/13,motown
18,2/8/19,big band
18,2/8/19,polka
18,2/8/19,easy listening
0,6/3/08,rock and roll
44,9/24/02,rockabilly
44,9/24/02,rock and roll
40,6/11/90,doo-wop
0,1/1/73,doo-wop
18,1/1/02,doo-wop
37,1/1/91,rockabilly
37,1/1/91,doo-wop
46,1/1/62,rockabilly
27,1/1/64,adult standards
28,1/1/98,doo-wop
6,1/1/03,doo-wop
19,1991,folk
49,1/1/11,doo-wop
49,1/1/11,rock and roll
0,4/8/16,jazz blues
0,4/8/16,soul
0,4/8/16,soul blues
0,4/8/16,blues
0,4/8/16,vocal jazz
67,1961,doo-wop
63,1961,motown
63,1961,northern soul
63,1961,doo-wop
61,8/29/94,doo-wop
0,6/27/95,doo-wop
53,1/1/62,doo-wop
53,1/1/62,northern soul
0,1/1/99,schlager
32,1/24/06,doo-wop
39,9/24/02,rockabilly
39,9/24/02,rock and roll
0,3/7/09,doo-wop
0,3/7/09,motown
0,8/6/12,jazz blues
0,8/6/12,soul
0,8/6/12,soul blues
0,8/6/12,blues
0,8/6/12,vocal jazz
26,1/1/05,exotica
37,6/22/04,doo-wop
37,6/22/04,adult standards
45,10/25/99,doo-wop
45,10/25/99,adult standards
40,3/18/16,doo-wop
45,1/1/62,bubblegum pop
52,1/14/03,doo-wop
52,1/14/03,northern soul
43,2/22/11,doo-wop
46,1/14/03,doo-wop
46,1/14/03,northern soul
0,8/17/62,surf rock
0,0000,champeta
0,3/13/15,doo-wop
43,1/14/03,doo-wop
43,1/14/03,northern soul
42,1/1/63,doo-wop
56,10/2/04,doo-wop
56,10/2/04,motown
54,12/10/63,schlager
44,1/1/10,kayokyoku
44,1/1/10,enka
34,1/15/63,doo-wop
48,1/1/10,surf rock
48,1/1/10,doo-wop
40,1/1/63,northern soul
40,1/1/63,philly soul
40,1/1/63,doo-wop
40,1/1/63,motown
0,2002,motown
0,2002,soul
45,1/1/98,doo-wop
56,6/22/04,doo-wop
56,6/22/04,adult standards
0,10/1/09,surf rock
55,11/13/00,classic rock
55,11/13/00,psychedelic rock
65,7/10/64,classic rock
65,7/10/64,psychedelic rock
59,10/25/64,jazz
59,10/25/64,swing music
59,10/25/64,big band
59,10/25/64,vocal jazz
59,10/25/64,jazz blues
62,1964,motown
62,1964,northern soul
62,1964,doo-wop
68,3/22/63,classic rock
68,3/22/63,psychedelic rock
46,8/4/87,doo-wop
53,1/1/12,baroque pop
48,1/14/03,doo-wop
48,1/14/03,northern soul
67,7/10/64,classic rock
67,7/10/64,psychedelic rock
50,11/19/13,christmas
50,11/19/13,adult standards
50,11/19/13,big band
50,11/19/13,swing music
63,8/31/64,motown
63,8/31/64,northern soul
63,8/31/64,soul
74,10/19/87,classic rock
66,3/28/06,rockabilly
67,8/31/64,motown
67,8/31/64,northern soul
67,8/31/64,soul
51,1/1/96,doo-wop
54,6/22/04,doo-wop
54,6/22/04,adult standards
57,8/31/64,motown
57,8/31/64,northern soul
57,8/31/64,soul
52,11/13/00,classic rock
52,11/13/00,psychedelic rock
80,3/22/65,motown
80,3/22/65,soul
62,12/4/64,classic rock
62,12/4/64,psychedelic rock
61,7/23/65,motown
61,7/23/65,northern soul
61,7/23/65,soul
50,11/13/00,classic rock
50,11/13/00,psychedelic rock
41,1/1/12,baroque pop
43,7/23/65,motown
43,7/23/65,northern soul
43,7/23/65,soul
74,1965,motown
74,1965,northern soul
74,1965,soul
59,6/21/65,folk rock
59,6/21/65,country rock
59,6/21/65,psychedelic rock
59,6/21/65,acid rock
76,7/30/65,classic rock
76,7/30/65,rock
69,8/6/65,classic rock
69,8/6/65,psychedelic rock
56,1/1/65,folk rock
76,8/6/65,classic rock
76,8/6/65,psychedelic rock
39,7/12/04,classic rock
39,7/12/04,rock
48,2/18/66,motown
48,2/18/66,northern soul
48,2/18/66,soul
62,12/6/65,folk rock
62,12/6/65,country rock
62,12/6/65,psychedelic rock
62,12/6/65,acid rock
63,8/28/12,folk rock
63,8/28/12,folk
55,11/13/00,classic rock
55,11/13/00,psychedelic rock
19,3/28/19,doo-wop
63,1966-03,folk rock
70,1966,motown
70,1966,soul
82,4/15/66,classic rock
82,4/15/66,rock
50,11/13/00,classic rock
50,11/13/00,psychedelic rock
73,1966-05,christmas
73,1966-05,big band
73,1966-05,adult standards
73,1966-05,swing music
73,1966-05,vocal jazz
73,1966-05,jazz
61,7/25/66,proto-punk
62,1966-11,folk rock
53,1966-09,folk rock
53,1966-09,psychedelic rock
72,8/25/66,motown
72,8/25/66,northern soul
72,8/25/66,soul
49,1966,baroque pop
49,1966,acid rock
64,7/1/67,motown
64,7/1/67,northern soul
64,7/1/67,soul
52,1966,proto-punk
52,1966,garage rock
52,1966,acid rock
56,1/23/67,motown
56,1/23/67,northern soul
56,1/23/67,soul
54,1/1/11,baroque pop
41,2/16/18,baroque pop
63,1/20/67,classic rock
63,1/20/67,rock
37,1/23/67,motown
37,1/23/67,northern soul
37,1/23/67,soul
52,5/26/67,classic rock
52,5/26/67,psychedelic rock
77,1967-08,christmas
77,1967-08,big band
77,1967-08,adult standards
77,1967-08,swing music
77,1967-08,vocal jazz
77,1967-08,jazz
32,4/26/05,motown
32,4/26/05,northern soul
32,4/26/05,soul
74,3/10/67,soul
74,3/10/67,motown
74,3/10/67,jazz blues
40,4/11/06,baroque pop
40,4/11/06,acid rock
69,1/4/67,psychedelic rock
69,1/4/67,classic rock
69,1/4/67,acid rock
52,11/13/00,classic rock
52,11/13/00,psychedelic rock
49,1967,psychedelic rock
49,1967,acid rock
49,1967,psychedelic pop
49,1967,baroque pop
60,11/27/67,classic rock
60,11/27/67,psychedelic rock
44,1968,psychedelic rock
44,1968,psychedelic pop
44,1968,bubblegum pop
44,1968,acid rock
46,8/20/18,orchestra
46,8/20/18,easy listening
76,1968,soul
76,1968,motown
76,1968,soul blues
33,10/30/07,philly soul
33,10/30/07,northern soul
33,10/30/07,motown
33,10/30/07,soul
75,4/3/68,folk rock
75,4/3/68,folk
53,5/1/68,adult standards
53,5/1/68,exotica
44,1/1/68,afro soul
44,1/1/68,afrobeat
60,7/3/68,psychedelic rock
60,7/3/68,classic rock
60,7/3/68,acid rock
70,11/13/00,classic rock
70,11/13/00,psychedelic rock
49,10/7/97,motown
49,10/7/97,northern soul
73,8/26/68,motown
73,8/26/68,soul
73,8/26/68,northern soul
73,8/26/68,quiet storm
53,10/8/99,funk
53,10/8/99,motown
53,10/8/99,funk rock
53,10/8/99,soul
50,1/1/01,bubblegum pop
67,5/8/70,classic rock
67,5/8/70,psychedelic rock
29,9/14/00,exotica
29,9/14/00,adult standards
29,9/14/00,easy listening
55,11/29/19,classic rock
55,11/29/19,rock
51,1/1/69,motown
51,1/1/69,soul
75,6/17/69,rockabilly
75,6/17/69,rock and roll
77,9/26/69,classic rock
77,9/26/69,psychedelic rock
74,9/26/69,classic rock
74,9/26/69,psychedelic rock
60,10/31/67,folk
60,10/31/67,folk rock
54,11/3/69,motown
54,11/3/69,northern soul
76,12/18/69,motown
76,12/18/69,christmas
64,1969,nederpop
55,11/21/70,funk
55,11/21/70,motown
55,11/21/70,funk rock
55,11/21/70,soul
68,1/26/70,folk rock
68,1/26/70,folk
78,5/8/70,classic rock
78,5/8/70,psychedelic rock
66,5/8/70,motown
66,5/8/70,christmas
19,1/1/70,classic rock
0,1/1/61,comedy
64,5/8/70,classic rock
64,5/8/70,psychedelic rock
50,5/8/70,motown
50,5/8/70,christmas
69,1/1/70,christmas
69,1/1/70,adult standards
56,6/1/73,soft rock
60,1/1/70,northern soul
60,1/1/70,motown
57,11/17/17,motown
57,11/17/17,disco
63,9/8/70,motown
63,9/8/70,christmas
51,1970,bubblegum pop
55,8/29/67,motown
55,8/29/67,northern soul
55,8/29/67,soul
36,11/14/70,glam rock
69,1/11/71,classic rock
69,1/11/71,acid rock
69,1/11/71,psychedelic rock
63,1/1/71,motown
63,1/1/71,soul
53,12/20/71,classic rock
53,12/20/71,rock
0,7/27/10,northern soul
0,7/27/10,motown
73,1971,singer-songwriter
73,1971,folk rock
45,1971,proto-punk
45,1971,garage rock
54,1976,folk rock
54,1976,soft rock
54,1976,singer-songwriter
63,1971-09,disco
71,5/18/71,soft rock
57,1971,soul
48,11/20/71,funk
48,11/20/71,motown
48,11/20/71,funk rock
48,11/20/71,soul
75,1972,soul
75,1972,motown
75,1972,soul blues
65,1971,baroque pop
65,1971,singer-songwriter
57,1/1/10,classic rock
57,1/1/10,folk rock
57,1/1/10,singer-songwriter
57,1/1/10,roots rock
78,1972,soft rock
78,1972,folk rock
65,1969,adult standards
50,2006,motown
50,2006,philly soul
50,2006,soul
50,2006,smooth soul
41,5/19/17,soul
41,5/19/17,motown
41,1/1/02,big band
41,1/1/02,swing music
41,1/1/02,adult standards
41,1/1/02,vocal jazz
71,5/1/72,soul
71,5/1/72,motown
40,1/1/10,rockabilly
40,1/1/10,rock and roll
65,1/11/00,motown
65,1/11/00,soul
66,10/25/72,philly soul
66,10/25/72,soul
66,10/25/72,motown
67,10/28/72,motown
67,10/28/72,soul
74,1/1/73,adult standards
66,1/1/72,philly soul
66,1/1/72,motown
66,1/1/72,quiet storm
66,1/1/72,soul
2,7/1/73,folk rock
2,7/1/73,singer-songwriter
52,6/22/73,motown
52,6/22/73,disco
1,8/28/73,motown
1,8/28/73,soul
1,8/28/73,northern soul
1,8/28/73,quiet storm
59,1973,classic rock
73,8/31/73,classic rock
73,8/31/73,rock
72,1973,motown
72,1973,soul
72,1973,northern soul
39,1/1/73,motown
39,1/1/73,soul
39,1/1/73,philly soul
67,1972,christmas
67,1972,adult standards
58,1972,traditional country
2,4/1/72,folk rock
2,4/1/72,singer-songwriter
74,1/1/73,classic rock
47,8/24/06,northern soul
47,8/24/06,motown
60,1974-01,adult standards
61,2/1/74,philly soul
61,2/1/74,disco
59,1971,folk
37,11/2/18,philly soul
37,11/2/18,disco
40,1/1/06,classic rock
0,8/3/09,comedy
68,1974,folk rock
68,1974,folk
68,1974,singer-songwriter
64,1973,disco
59,10/15/10,disco
69,6/15/74,folk
62,1975,adult standards
50,1974,adult standards
64,7/1/74,blues
64,7/1/74,blues rock
64,7/1/74,classic rock
71,2/15/74,disco
71,2/15/74,soul
71,2/15/74,quiet storm
71,2/15/74,philly soul
48,7/22/74,motown
48,7/22/74,soul
70,1974,classic rock
49,9/26/74,christmas
66,1974,singer-songwriter
67,1974,adult standards
62,6/6/75,christmas
62,6/6/75,adult standards
35,4/24/07,doo-wop
35,4/24/07,adult standards
53,6/1/74,soul
61,1974,country rock
61,1974,mariachi
61,3/22/74,classic rock
61,3/22/74,soft rock
60,1974,classic rock
60,1974,soft rock
60,1974,southern rock
57,9/13/74,disco
57,9/13/74,philly soul
62,3/15/75,disco
52,1975,tejano
65,6/15/74,folk
73,1975,soft rock
73,1975,folk rock
61,1/1/75,soft rock
45,1/1/07,disco
45,1/1/07,philly soul
45,1/1/07,northern soul
74,6/10/75,classic rock
74,6/10/75,soft rock
61,6/1/75,disco
46,3/9/09,disco
60,3/7/75,glam rock
60,3/7/75,art rock
48,1975-09,folk
16,4/24/07,doo-wop
16,4/24/07,adult standards
55,3/9/09,disco
48,9/20/10,disco
41,1/1/15,soul
41,1/1/15,motown
46,5/14/93,glam rock
51,1975,adult standards
54,2/10/76,motown
54,2/10/76,disco
58,8/16/75,soul
75,10/25/75,singer-songwriter
40,1975,motown
40,1975,doo-wop
76,1975,doo-wop
76,1975,northern soul
40,1976,blues
40,1976,soul blues
40,1976,soul
45,8/20/75,disco
51,2/10/76,motown
51,2/10/76,disco
51,7/1/76,soft rock
61,1976,philly soul
61,1976,motown
60,11/3/09,disco
55,1976,disco
50,11/15/77,disco
76,6/14/76,soft rock
67,1/1/76,classic rock
57,1976,soft rock
61,1976,soft rock
66,9/28/76,motown
66,9/28/76,soul
45,6/26/20,quiet storm
45,6/26/20,disco
0,8/27/76,progressive rock
0,8/27/76,classic rock
67,12/8/76,classic rock
67,12/8/76,soft rock
56,1976-11,adult standards
79,8/1/76,soft rock
56,1/1/98,motown
56,1/1/98,disco
83,12/8/76,classic rock
83,12/8/76,soft rock
57,1976,soft rock
72,9/28/76,motown
72,9/28/76,soul
57,1976,disco
86,2/4/77,classic rock
86,2/4/77,soft rock
67,8/22/83,motown
67,8/22/83,soul
67,8/22/83,northern soul
67,8/22/83,quiet storm
49,1976,adult standards
70,6/10/77,disco
79,1/1/79,disco
62,12/11/20,disco
42,8/21/20,disco
35,1956,christmas
79,4/4/78,musicals
73,6/9/78,classic rock
73,6/9/78,rock
55,1/1/78,motown
57,1978,disco
57,1978,boogie
55,10/15/79,disco
55,10/15/79,hi-nrg
37,11/26/02,adult standards
0,8/20/09,disco
70,2/5/79,disco
73,11/24/78,soft rock
72,11/27/78,disco
70,2/5/79,disco
74,1978,classic rock
74,1978,soft rock
74,1978,southern rock
55,10/17/12,disco
55,10/17/12,hi-nrg
58,1/1/78,disco
68,4/25/79,disco
68,4/25/79,hi-nrg
61,2/5/79,disco
62,9/26/05,disco
64,4/25/79,disco
64,4/25/79,hi-nrg
66,7/30/79,disco
70,1/1/79,power pop
54,2002,soft rock
55,9/1/79,smooth jazz
0,1/1/79,synthpop
60,9/24/79,classic rock
60,9/24/79,soft rock
46,1/1/79,motown
45,1/29/02,adult standards
66,1/1/79,classic rock
66,1/1/79,album rock
66,1/1/79,progressive rock
55,5/1/79,disco
66,1/1/79,soft rock
68,6/27/80,classic rock
68,6/27/80,rock
68,6/27/80,glam rock
81,11/30/79,progressive rock
81,11/30/79,psychedelic rock
81,11/30/79,classic rock
81,11/30/79,symphonic rock
81,11/30/79,art rock
81,11/30/79,rock
3,10/20/09,disco
51,10/2/01,soft rock
71,1979,soft rock
70,5/22/80,motown
70,5/22/80,disco
72,6/27/80,classic rock
72,6/27/80,rock
72,6/27/80,glam rock
68,9/23/80,adult standards
0,1/1/06,country
0,10/5/10,christmas
70,9/29/80,disco
70,9/29/80,funk
77,1980,country
74,1980,soft rock
74,1980,album rock
74,1980,classic rock
63,1980,soft rock
51,1/22/81,disco
63,1981,soft rock
53,2003,motown
71,2/19/08,soft rock
66,1981,soft rock
67,1981,soft rock
70,1981,classic rock
77,11/18/81,rock
0,1/1/89,new age
78,1981,new wave
78,1981,synthpop
68,6/15/82,classic rock
56,6/7/82,soft rock
73,1982,classic rock
63,1982,motown
2,1982,soft rock
86,4/8/82,soft rock
0,11/11/16,glam rock
0,11/11/16,art rock
83,1/4/83,new wave
83,1/4/83,synthpop
58,8/8/83,soft rock
52,6/3/03,country
57,2003,motown
72,6/1/83,progressive rock
72,6/1/83,symphonic rock
72,6/1/83,art rock
72,6/1/83,album rock
78,1/4/84,glam metal
78,1/4/84,classic rock
78,1/4/84,rock
78,1/4/84,hard rock
76,10/14/16,soft rock
58,1/1/83,motown
60,11/21/83,new wave
60,11/21/83,synthpop
9,6/25/84,funk rock
72,1/1/84,arena rock
5,6/25/84,funk rock
0,1/1/99,motown
0,1/1/99,soul
48,11/11/06,christmas
50,4/25/05,soft rock
0,4/29/16,album rock
0,4/29/16,classic rock
74,11/5/84,soft rock
74,11/5/84,album rock
74,11/5/84,classic rock
69,1/25/85,soft rock
3,3/25/13,new wave
68,10/23/84,christmas
86,2/25/85,new wave
86,2/25/85,synthpop
67,1/25/85,soft rock
47,11/9/98,new wave
47,11/9/98,synthpop
44,2/25/85,new wave
44,2/25/85,synthpop
66,5/13/85,classic rock
54,1/1/85,new jack swing
54,1/1/85,quiet storm
86,6/1/85,new wave
86,6/1/85,synthpop
71,9/13/85,motown
71,9/13/85,soul
0,1/1/87,jazz fusion
62,10/14/16,soft rock
72,1986,motown
68,7/6/85,classic rock
68,7/6/85,album rock
68,7/6/85,rock
0,1/1/09,neue deutsche welle
74,3/31/86,funk rock
1,3/24/86,synthpop
1,3/24/86,new wave
60,1/1/86,philly soul
60,1/1/86,quiet storm
70,6/9/86,progressive rock
70,6/9/86,symphonic rock
70,6/9/86,art rock
57,5/19/86,art rock
75,1986,soft rock
0,1/1/06,soft rock
0,5/13/14,hi-nrg
56,2/4/86,new jack swing
63,1/1/86,classic rock
63,1/1/86,album rock
41,1/1/05,new wave
41,1/1/05,synthpop
1,1/1/86,glam metal
1,1/1/86,rock
63,1986,soft rock
63,2004,jangle pop
8,1/1/86,glam metal
8,1/1/86,rock
0,9/30/03,new jack swing
48,3/3/87,rock
64,3/24/87,quiet storm
36,1985,freestyle
36,1985,funk melody
76,6/6/87,classic rock
76,6/6/87,album rock
76,6/6/87,rock
51,11/4/03,classic rock
78,3/3/87,rock
54,1993,roots rock
0,1987,glam metal
0,1987,hard rock
0,1987,glam rock
41,1985,freestyle
41,1985,funk melody
35,11/20/95,freestyle
65,4/12/88,power pop
65,4/12/88,album rock
65,4/12/88,classic rock
65,4/12/88,glam rock
54,1/1/87,soft rock
50,1/1/88,soft rock
9,7/21/87,rock
9,7/21/87,glam metal
9,7/21/87,hard rock
9,7/21/87,classic rock
66,8/3/87,glam metal
66,8/3/87,glam rock
66,8/3/87,classic rock
72,2000,reggae
57,10/14/16,soft rock
59,1/1/12,baroque pop
69,9/13/88,glam metal
69,9/13/88,rock
57,8/9/88,funk melody
57,8/9/88,freestyle
57,8/9/88,miami bass
40,2/1/05,soft rock
70,3/21/88,glam metal
70,3/21/88,glam rock
62,1/1/88,new jack swing
53,10/14/16,soft rock
52,1/1/82,glam metal
28,9/30/14,soft rock
68,2004,jangle pop
70,9/13/88,glam metal
70,9/13/88,rock
43,1/1/89,soft rock
46,6/20/89,funk rock
77,1/1/89,soft rock
49,9/19/89,new jack swing
63,6/15/89,album rock
63,6/15/89,glam metal
77,10/17/89,soft rock
80,11/20/89,soft rock
70,6/27/89,soft rock
54,9/19/89,new jack swing
57,6/12/90,christmas
35,1990,freestyle
35,1990,chicago house
35,1990,funk melody
35,1990,hi-nrg
0,12/3/10,glam metal
0,12/3/10,album rock
0,12/3/10,glam rock
0,12/3/10,arena rock
41,1/1/08,lovers rock
41,1/1/08,reggae
41,9/19/89,new jack swing
58,6/12/90,christmas
0,6/13/08,funk melody
0,6/13/08,freestyle
0,6/13/08,miami bass
0,6/13/08,latin hip hop
31,9/30/91,quiet storm
31,9/30/91,new jack swing
48,6/12/90,christmas
49,3/15/90,freestyle
49,3/15/90,funk melody
49,3/15/90,latin hip hop
66,11/20/95,eurodance
54,1991,christmas
54,1991,ccm
54,1991,christian
46,10/10/94,new jack swing
46,10/10/94,quiet storm
46,6/12/90,christmas
76,1/1/90,glam metal
65,5/7/91,madchester
45,7/23/91,new jack swing
64,1991,hip house
62,9/17/91,christmas
38,1991,new jack swing
38,1991,quiet storm
0,10/1/91,funk rock
67,4/23/91,soft rock
54,7/23/91,new jack swing
62,3/26/91,glam metal
38,12/4/01,christmas
72,4/30/91,new jack swing
72,4/30/91,r&b
72,4/30/91,quiet storm
48,1/1/92,soft rock
57,1/31/93,quiet storm
60,1992,quiet storm
60,1992,new jack swing
60,1992,r&b
66,5/18/93,new jack swing
68,10/27/92,new jack swing
68,10/27/92,r&b
70,1/1/93,reggae
0,8/31/93,christmas
57,5/18/93,new jack swing
2,8/31/93,christmas
73,12/24/93,eurodance
73,12/24/93,europop
57,11/7/93,r&b
64,5/17/94,singer-songwriter
61,1/1/94,new jack swing
61,1/1/94,r&b
61,1/1/94,quiet storm
58,1/1/94,new jack swing
58,1/1/94,r&b
58,1/1/94,quiet storm
68,1994,reggae
68,1994,roots reggae
66,1/1/95,new jack swing
10,11/7/95,west coast hip hop
10,11/7/95,g-funk
75,10/3/95,christmas
68,10/3/95,christmas
73,10/3/95,christmas
67,7/25/95,gangster rap
67,7/25/95,g-funk
41,1/1/98,gangster rap
41,1/1/98,west coast hip hop
41,1/1/98,g-funk
41,1/1/98,hip hop
60,12/3/07,gangster rap
60,12/3/07,west coast hip hop
60,12/3/07,g-funk
60,12/3/07,hip hop
62,6/18/96,r&b
49,6/18/96,r&b
78,9/9/96,new jack swing
72,6/18/96,r&b
70,3/2/07,gangster rap
70,3/2/07,east coast hip hop
70,3/2/07,hip hop
66,1997,hip hop
66,1997,east coast hip hop
73,3/4/97,gangster rap
73,3/4/97,east coast hip hop
73,3/4/97,hip hop
60,9/16/97,christmas
48,3/23/97,new jack swing
48,3/23/97,r&b
48,3/23/97,quiet storm
1,10/7/97,new jack swing
65,9/16/97,r&b
70,1/1/97,r&b
66,9/30/97,r&b
70,9/16/97,christmas
74,5/29/98,r&b
74,6/23/98,classic rock
74,6/23/98,rock
45,7/13/98,r&b
76,8/25/98,neo soul
14,4/26/96,hi-nrg
14,4/26/96,italo disco
14,4/26/96,italo dance
51,11/8/98,r&b
63,5/29/98,r&b
83,1/12/99,pop
61,7/13/98,r&b
52,6/29/18,rap
52,6/29/18,hip hop
0,1/18/19,pop
39,10/19/15,latin pop
39,10/19/15,latin
30,1/1/08,latin pop
30,1/1/08,latin
63,11/2/99,christmas
58,11/2/99,christmas
54,8/5/08,country
49,11/23/99,latin pop
49,11/23/99,latin
57,5/23/00,post-grunge
28,4/24/01,new jack swing
75,1/1/99,post-grunge
58,1/1/08,reggae
83,10/31/00,southern hip hop
83,10/31/00,hip hop
53,4/18/00,r&b
53,4/18/00,quiet storm
53,4/18/00,smooth r&b
75,11/4/99,rap rock
75,11/4/99,nu metal
75,11/4/99,rap metal
0,8/8/00,reggae
46,4/24/01,new jack swing
71,8/7/01,r&b
1,6/26/01,r&b
1,6/26/01,neo soul
79,8/28/01,r&b
72,8/7/01,r&b
85,9/11/01,post-grunge
85,9/11/01,rock
4,1/1/01,east coast hip hop
4,1/1/01,r&b
74,1/1/02,r&b
52,4/15/03,christmas
78,12/6/05,rap
78,12/6/05,hip hop
74,2/6/03,east coast hip hop
2,11/12/02,dancehall
72,2/6/03,east coast hip hop
20,6/3/03,christmas
60,1/1/03,southern hip hop
82,2003,southern hip hop
82,2003,hip hop
72,2003,southern hip hop
72,2003,hip hop
85,3/23/04,r&b
49,3/8/04,r&b
41,11/22/04,r&b
69,3/23/04,r&b
64,1/1/03,southern hip hop
64,1/1/03,crunk
64,1/1/03,bounce
78,3/23/04,r&b
77,1/1/04,g-funk
77,1/1/04,west coast hip hop
77,1/1/04,gangster rap
77,1/1/04,hip hop
77,1/1/04,rap
74,9/21/04,r&b
80,3/3/05,east coast hip hop
70,4/12/05,christmas
33,12/9/14,country
53,8/30/05,rap
77,2005,r&b
0,1/1/05,christmas
67,11/8/05,crunk
67,11/8/05,southern hip hop
81,9/27/05,dancehall
68,1/1/05,southern hip hop
85,11/28/05,latin pop
85,11/28/05,latin
59,1/1/06,southern hip hop
62,1/1/07,pop
0,9/11/07,rap
73,11/6/07,r&b
72,11/9/07,r&b
72,11/9/07,neo soul
74,5/27/08,r&b
0,1/1/08,christmas
20,1/1/08,rap
20,1/1/08,hip hop
70,6/17/08,pop
43,9/7/08,southern hip hop
50,9/7/08,southern hip hop
80,12/2/08,pop
2,1/1/08,art pop
2,1/1/08,pop
67,3/6/09,christmas
69,5/15/09,rap
69,5/15/09,hip hop
2,1/1/08,art pop
2,1/1/08,pop
61,11/9/09,pop
76,3/30/10,r&b
79,6/18/10,rap
79,6/18/10,hip hop
74,3/12/12,pop
84,6/18/10,rap
84,6/18/10,hip hop
64,3/12/12,pop
70,3/12/12,pop
57,3/28/11,pop
45,3/29/11,rap
68,1/1/11,art pop
68,1/1/11,pop
67,3/12/12,pop
7,1/19/11,soft pop
74,3/12/12,pop
58,2/2/18,pop
4,1/19/11,soft pop
3,1/19/11,soft pop
65,10/24/11,christmas
74,3/12/12,pop
73,1/1/12,pop
72,10/18/13,pop
40,11/5/13,rap
40,11/5/13,hip hop
75,10/18/13,pop
86,8/30/13,soft pop
86,8/30/13,neo soul
81,2015,rap
1,6/24/16,soft pop
86,5/6/16,rap
86,5/6/16,hip hop
0,2017,trap
88,3/3/17,soft pop
89,4/14/17,hip hop
89,4/14/17,west coast hip hop
70,4/17/17,latin
88,3/3/17,soft pop
81,1/12/18,pop
83,6/29/18,rap
83,6/29/18,hip hop
77,6/29/18,rap
77,6/29/18,hip hop
80,3/16/18,emo rap
73,6/29/18,rap
73,6/29/18,hip hop
62,5/30/18,pop
80,2/8/19,pop
83,8/3/18,rap
83,2/8/19,pop
71,10/5/18,art pop
71,10/5/18,pop
77,6/21/19,pop
85,10/4/19,rap
86,5/17/19,soft pop
26,10/23/19,pop
75,10/28/94,christmas
82,12/6/19,melodic rap
70,4/3/20,rap
70,4/3/20,hip hop
79,5/8/20,pop
70,5/22/20,art pop
70,5/22/20,pop
3,8/28/20,k-pop
74,9/25/20,rap
79,10/30/20,pop
1,11/20/20,k-pop
49,3/5/21,rap
49,3/5/21,hip hop
2,5/21/21,k-pop
2,7/9/21,k-pop
73,9/3/21,rap
73,9/3/21,hip hop
80,10/14/21,soft pop
83,4/29/22,rap
80,6/17/22,rap
80,6/17/22,hip hop
77,9/22/22,soft pop
77,1/31/23,country
75,3/24/23,k-pop
79,12/9/22,r&b
2,5/19/23,country
2,5/19/23,acoustic country
73,8/11/23,country
86,8/25/23,country
86,8/25/23,red dirt
68,9/15/23,rap
68,9/15/23,hip hop
75,10/6/23,rap
75,10/6/23,hip hop
72,10/19/64,christmas
74,1/12/24,pop
87,3/8/24,pop
87,3/22/24,rap